,Sales Package,Model Number,Model Name,Type,Portable,Bluetooth,Memory Card Slot,Configuration,Power Source,Frequency Response,Impedance,Color,Wired/Wireless,Wall Mountable Satellite,Built-in Fm Radio,Outdoor Usage,Headphone Jack,Driver Type,Compatible Devices,Connector Type,USB Ports,Amplifier,Other Audio Features,Chassis Material,Controls,Remote Control Support,Power Input,Other System Requirements,Satellite Weight,Width,Height,Depth,Warranty Service Type,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Power Output (RMS),Display Type,Signal to Noise Ratio,Sensitivity,Memory Card Supported,Charging Time,Battery,Battery Capacity,Bluetooth Range,Driver Size,Coverage Pattern,Cable Length,Subwoofer,Distortion,Technology Used,Other Features,Audio Codec,Maximum Output RMS Per Satellite,Maximum SPL,Tweeter Support,Maximum Output RMS Subwoofer,Maximum Output RMS Center Satellite,Separation,Subwoofer Width,Subwoofer Weight,Subwoofer Height,Subwoofer Depth,Tweeter Diameter,International Warranty,Satellite Width,Satellite Height,Satellite Depth,Center Satellite Width,Center Satellite Height,Center Satellite Depth,Center Satellite Weight
28,"1 BLUETOOTH SPEAKER, 1 CHARGING CABLE",New Arrival Ultra DJ sound blast With Super deep Bass Wireless Rechargeable 100% Bluetooth Speaker Support TF/USB/Pen Drive/AUX,,Mobile/Tablet Speaker,,Yes,No,Mono,,,,Red,Wired,,,,,,"Mobiles, Tablets, Laptop",,,,,,,,,,,8 cm,18 cm,8 cm,7 Days Service Center Returns,1 Year Warranty Provided by the Manufacturer from Date of Purchase,,,1 Year,9 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"1 BLUETOOTH SPEAKER, 1 CHARGING CABLE",New Arriving Power boost high sound blast with ultra 3d bass New arrival tg113 waterproof/splashproof mini dynamite thunder sound Wireless Bluetooth Speaker for car/laptop/home audio & gaming With usb/fm/tf card & line in aux supported 10 Bluetooth Speaker,,Mobile/Tablet Speaker,,Yes,,Mono Channel,,,,Blue,Wireless,,,,,,"MOBILES, LAPTOPS",,,,,,,,,,,8 cm,18 cm,8 cm,,,,,1 Year,220 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"1 Soundbar, Subwoofer, Remote Control with Batteries, HDMI Cable, Wall-mount Bracket Kit with Screws, User Manual, Warranty Card",JBLSB270BLKIN,,Soundbar,,Yes,,Mono,,,,Black,Wireless,,,,,,"Laptop, Table, Mobile, Television, Audio Player",,,,,,,,,,,94.5 cm,15.5 cm,32.5 cm,,,,,,14 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"1 Speaker, Type-C Charging Cable, User Manual, Warranty Card","Stone 1200F with upto 9 Hours Battery, IPX7 and RGB LEDs",,Mobile/Tablet Speaker,,3,,Mono Channel,,,,"Black, Green",Wireless,,,,,,,,,,,,,,,,,28.5 cm,12 cm,12 cm,,,,,,30 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Speaker, Remote, AUX Cable, Warranty Card",NANO PLUS+ ET-1414 Bluetooth,,Home Theatre,,Yes,,Mono,,,,Black,,,,,,,,,,,,,,,,,,12.5 cm,20 cm,16.5 cm,,,,,,10 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Speaker, Charging Cable, Audio Cable, User Manual, Warranty Card",Stone 350,,Mobile/Tablet Speaker,,No,,Mono Channel,,,,"Red, Silver",,,,,,,,,,,,,,,,,,9 cm,9.3 cm,11 cm,,,,,,55 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"1 Speaker, 4 Sattelite, Audio Cable, Remote, User Manual",IT-2616 BT / IT - 2616 TUFB OS,,Home Theatre,,Yes,,2.2,,,,Black,,,,,,,,,,,,,,,,,,18 cm,42 cm,28 cm,,,,,,5 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1 Speaker,BS5PL-BL,,Mobile/Tablet Speaker,,2.1,,2.2 Channel,,,,Blue,,,,,,,,,,,,,,,,,,8 cm,6.8 cm,7 cm,,,,,,3 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"1 Speaker, Micro USB Charging Cable, Aux Cable, User Manual",ZEB-PSPK9,,Mobile/Tablet Speaker,,Yes,,Stereo,,,,Red,,,,,,,,,,,,,,,,,,14.2 cm,11.2 cm,7 cm,,,,,,4.2 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"1 Speaker, Type-C USB Cable, Safety Sheet, Quick Start Guide, Warranty Card",GO3BLK,,Mobile/Tablet Speaker,,Yes,,Stereo Channel,,,,"Black, Grey",,,,,,,,,,,,,,,,,,8.75 cm,7.5 cm,4.13 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,Yes,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,4.2  withSPEAKER,,2.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,Yes,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,5.0,,2.0 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,Yes,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,"4.2  withA2DP V1.2, AVRCP V1.5",,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,Yes,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,Yes,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,4.2  withSPEAKER,,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,Yes,,Mono Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,Yes,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,4.2  withA2DP V1.3/AVRCP V1.5,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,Yes,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,5,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,Yes,,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,Yes,,Mono Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,5,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,Yes,,2.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,5.1  withA2DP,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,Yes,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,5,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,Yes,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,Yes,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,"5.1  withA2DP V1.3, AVRCP V1.6",,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,Mono Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,4.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,Mono Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,Mono Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,Mono Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Wireless Speaker, Dual Rechargeable Wireless Mic, Type-C Fast Charging Cable, User manual, Warranty Card",Retro Mini Wireless with Dual Karaoke Mic I Voice Changing | Deep Bass I TWS,Nest Mini (2nd Gen) with Google Assistant,Party Speaker,Yes,Yes,Yes,Stereo,Battery,20-80KHz,4 Ohms,Gold,Wired & Wireless,No,No,Yes,No,"1 Woofer, 1 Tweeter","All Smartphones, All Bluetooth Devices, Television, Laptop, Tablet",Aux,1 USB Ports,Yes,"Dual Voice Changing Wirelss Karaoke MIc, Support five Deferent Voices With Voice Changing Feature, Vocal Cut Feature Allow you to Sing with any music with your own Voice","No, ABS Chassis",Touch,NA,DC 5V,"ULTRA SOUND Speaker has a Cool appearance, Football shape design, fashionable and sporty,Support USB, Support TF card, FM Radio function, Bluetooth functionality built-in microphone can answer the phone,stereo input out put., Enjoy True, Full Room Sound From Our Resonance Technology And Tri-Band Sound Frequency. The Speaker Captures The High Highs And The Deepest Lows, Giving You Rich, Full Surround Sound, The Ultimate, High-Powered Portable Bluetooth Speaker With Powerful Stereo Sound And A Power Bank All In One Package. A Built-In Noise And Echo-Cancelling Speakerphone Gives",,18 cm,15 cm,12 cm,Repair,1 year Brand Warranty,Manufacturing Defects,Physical or Liquid Damage,1 Year,14 W,NA,80 dB,85 dB,Yes,3 hr,"Li-Ion, Use Time 6 hr",2800 mAh,10 m,2 Inch,"Horizontal, Vartical, Surround",1 m,1,0.1% at 1 W,DSP,LED Indicators,DAC,3 W,0 dB,"inbuilt, 2",60 W,30 W,>65,170 mm,4.3 kg,380 mm,306 mm,,,,,,,,,
77,"1N Soundbar,1N Woofer,1N Aux Cable,1N Remote Control",SBW550 5.1 Surround Soundbar with Rear Satellites and 20.3cm Subwoofer,Roam2,Home Theatre,Yes,"5.0  withAVRCP, A2DP,HSP 1.2,HFP",No,Stereo Channel,Battery,20Hz to 20Khz,13,Black,Wired & Wireless,Yes,No,Yes,No,Full Range Speaker,"Mobile, Tablet, Laptop",Speaker Wire,1 USB Ports,Built In,"Personalization with JBL Portable App, Party Boost, Racetrack-shaped Woofer, Seperate Tweeter for High Frequencies, Dual Passive Radiators for Deep Bass",Yes,"Easy responsive controls change music tracks, Volume control",Wireless,100-240 V AC,"Play time depends on Volume and led light (on moderate volume play-back will be 4-4.5 hours as volume increases playback decreases), Pen drive and sd card will be supported upto 64 gb (After 64 gb fully loaded sd and pen drive will not be supported), Does not have calling mic for attending calls, For FM working it requires strong Frequency search area,,so it will not work in area under weak fm receiver",,97.5 cm,51 cm,26 cm,Carry In,1 Year Manufacturing Warranty,Manufacturing Defects,Physical Damage,1 Year,300 W,NA,80 dB,108 dB,TF Card,4 hr,"Li-polymer, Use Time 24 hr",2000 mAh,10 m,"45 x 80 mm (Woofer), 16 mm (Tweeter)",50,1.5 m,1,10W,Dolby Digital Technology,"Zeb-county is a compact and handy portable speaker that comes with multi-connectivity options like wireless BT/USB/micro SD and AUX. The speaker comes with a call function along with a built-in fm radio too
. Speaker impedance 4Ω
. Frequency response 120hz-15khz
. Charging time 4-5 hrs, Playback time approx. 10 hrs",MP3,60 W,65 dB,1,3 W,3 W,40,170 mm,,95 mm,310 mm,,,,,,,,,
78,"Google Nest Mini, Power Adapter and Cable, Documentation Bundle",GA00781-IN,Juke Bar 9000 Pro Dolby,Smart Speaker,,Yes,Yes,5.1,AC Adapter,45Hz-20kHz,3 Ohms,Black,Wired,No,Yes,Yes,No,2 Full Range Speaker,"Mobiles, Tablets, Laptop",Bluetooth,0 USB Ports,YES,Dual Passive Radiators for Extra Bass,Plastic Chassis,"Play, Pause, Volume, Bluetooth Pairing, Power",Wireless,5V 1A,,,9.779 cm,4.191 cm,4 cm,Reach Out to Us at info@imaginemarketingindia.com or +912249461882 or support.boat-lifestyle.com. Alternatively You Can Activate Your Warranty by Giving a Missed Call on 9223032222.,1 Year Warranty from the Date of Purchase,Manufacturing Defects,Physical Damages,1 Year,14 W,A-006,72 dB,110 dB,Micro SD,2.5 hr,"Li-ion Polymer, Use Time 12 hrs",4800 mAh,10 m,2.04 inch,10,1 m,2,5W,Party Speaker with Built-in Karaoke Mode,"Built-in Sound Effects: Clapping, Scratches, Barking, Horn and More, IPX4 Splash Proof Rated",apx-X,10 W,110 dB,Yes,30 W,10 W,40 dB,200 mm,,284 mm,320 mm,,,,,,,,,
79,"1 Speaker, Type-C Charging Cable, User Manual, Warranty Card","Stone 1200F with upto 9 Hours Battery, IPX7 and RGB LEDs","Flip 6 with 12Hr Playtime, Customize Audio by JBL App,IP67 Rating, Portable",Mobile/Tablet Speaker,,Yes,No,5.1 Channel,Battery,63 - 20000 Hz,4,"Black, Grey, Orange",Wired & Wireless,No,No,Yes,No,1 Sub Woofer,"Mobile 
Tablet 
Laptop",RCA JACK,1 USB Ports,Built-in,"Wireless Soundbar, Sleek and Stylish Looks, 10 W Sound Output, Fill your Space with Deeper Bass, Non-stop Music Up to 10 Hours, Multiple Ways to Stay Connected (Hands-free Calling, USB Drive, Micro TF Card, 3.5 mm Aux Input, Bluetooth 5.0 Version), TWS Function (Sync and Play 2 Speakers Together)","ABS (Body), Metal (Grill) Chassis","Volume, Play, Pause",Wireless,DC 5 V,,,28.5 cm,12 cm,12 cm,1 Year Warranty. For claims please send email to support@mivi.in or call 8099973333,1 year warranty provided by the manufacturer from date of purchase,Manufacturer Defects,Physical Damage,1 Year,5 W,LCD Display,95 dB,500 dB,Yes,2 hrs,Li-ion,2500 mAh,10 m,"2 x 6.5 inch Woofers, 2 x 2.5 inch Tweeters",,1.2 m,1,0.1 %1W,Wireless Bluetooth,"Classical Sound, HD Sound, Perfect Bass, Long Life Battery, DJ Speakers, Party Speakers, Mini Speakers, home theater",MP3,10 W,1566 dB,Yes,10 W,15 W,45,190 mm,,370 mm,315 mm,,,,,,,,,
80,"Mivi Roam2 Speaker, Aux Cable, User Manual, Warranty card",BS5RM2-BL,"Centerstage 400 Gaming Soundbar with RGB Light Sync,Quad Mode, 2500 mAH Battery",Mobile/Tablet Speaker,,Yes,Yes,Mono,Type-C charging,90-20000,4,Blue,Wireless,Yes,Yes,Yes,No,"2 Woofers, 2 Tweeters","Led TV, Laptop, Mobile, Computer, Tablet",Bluetooth,1 USB Ports,Yes,"Classical Sound, HD Sound, Perfect Bass, Long Life Battery, DJ Speakers, Party Speakers, Mini Speakers, home theater, ULTRA SOUND Speaker has a Cool appearance, Football shape design, fashionable and sporty,Support USB, Support TF card, FM Radio function, Bluetooth functionality built-in microphone can answer the phone,stereo input out put., Enjoy True, Full Room Sound From Our Resonance Technology And Tri-Band Sound Frequency. The Speaker Captures The High Highs And The Deepest Lows, Giving You Rich, Full Surround Sound, The Ultimate, High-Powered Portable Bluetooth Speaker With Powerful Stereo Sound And A Power Bank All In One Package. A Built-In Noise And Echo-Cancelling Speakerphone Gives","No, Yes, MATTEL, PLASTIC Chassis Chassis",Volume,"UP/DOWN, NEXT/PERVIEW, ON/OFF, FM Mode",0.5,,,20 cm,17 cm,4 cm,1 Year Carry Into Service Centre,1 Year Manufacturing Warranty,Sound Bar,Any Physical Damage And Accessories,1 Year,120 W,LED,90 dB,90 dB,124GB,2.5 hr,"Rechargeable Li-ion, Use Time 10 hrs",1200 mAh,10 m,3.5,,1 m,2,0.25 % at 1 W,MP3,"Play time depends on Volume and led light (on moderate volume play-back will be 4-4.5 hours as volume increases playback decreases), Pen drive and sd card will be supported upto 64 gb (After 64 gb fully loaded sd and pen drive will not be supported), Does not have calling mic for attending calls, For FM working it requires strong Frequency search area,,so it will not work in area under weak fm receiver","AAC, MP3, WAV, OGG, FLAC, AIFF",15 W,110 dB,"Yes, 2",45 W,40 W,,184 mm,,390 mm,295 mm,,,,,,,,,
81,"Sound bar, Subwoofer, Remote, Input cable, Wall mount fasteners 1 pair, User manual",Zeb-Juke Bar 9000 Pro Dolby,"Musicbot Evo with 10Hrs Playtime, Punchy Bass & Aux Port",Soundbar,,5,No,Mono Channel,USB,20 Hz - 20 KHz,4,Black,Wired,Yes,Yes,Yes,Yes,Driver Type,"Laptop, Tablet, Mobile",,1 USB Ports,"Built-in, Yes","Deep HD bass, sensitvity of 110dB lets you experience every beat and every drop.",Yes,Volume Increase/Volume Decrease/Next Song/Prev. Song/Call Receive/Play/Pause/TWS Connectivity/Bluetooth/Aux/USB/TF,"Yes, Wireless","AC 100 - 240 V, 50 - 60 Hz",,,97.4 cm,45.1 cm,23 cm,wingslifestyle.in 91 9130256537 / WhatsApp :+91 9130256537,1 Year Warranty Provided by the Manufacturer from Date of Purchase,Manufacturing Defects,Physical Damages will Not Covered in Warranty,1 Year,120 W,,68 dB,,yes,3.5 hrs,Use Time 10 hr,2000 mAh,10 m,32,,,1,Distortion Cancellation,Bluetooth,Built-in Powerbank with 7500mAh Battery,,,,Inbuilt,60 W,,,,,346 mm,,,,,,,,,,
82,2 TOWER SPEAKER,FRIDOBLE,"SoundDrum 1 10W TWS Portable Speaker, Inbuilt-FM & Type C Charging",Tower Speaker,,Yes,Yes,Stereo,AC Adapter,60 - 20000 Hz,3,Black,Wireless,No,Yes,Yes,Yes,Dynamic Drivers,"Macbook, Desktop Pc, Computer, Laptop",,1 USB Ports,Built-in,Output Power (RMS)=45W+15W x 4= 105W,"Yes, Hard Plastic Chassis","Play, Pause, Volume, Bluetooth Pairing, Power, DJ Control Panel",Yes,5,,,29 cm,64 cm,27 cm,Customer Need To Visit Service Center,1 Year Manufacturing Warranty against Manufacturing Defects only,Limited Hardware,Physical Damage,1 Year,30 W,,80 dB,,Micro SD,1.3 hr,Use Time 10 Hrs,2000 mAh,10 m,4 inch,,,1,,A2DP,LED Indicators,,,,"Yes, 1",,,,,,,,,,,,,,,,
83,"1 Speaker, Type-C USB Cable, Quick Start Guide, Warranty Card, Safety Sheet",JBLFLIP6BLU,"PSPK9 (County) Built-in FM Radio ,Aux input",Mobile/Tablet Speaker,,5,Yes,Stereo Channel,Battery,70 - 15k Hz,NA,Blue,Wireless,No,Yes,Yes,No,"1 Subwoofer, 4 Satellite Speakers","Mobile, Tablet",,1 USB Ports,,"Wireless Bluetooth Streaming, IP67 Waterproof, Dual Passive Bass Radiator, Bold JBL Pro Sound, Built-In Power Bank",chassis material Chassis,"Volume, Play, Pause, Track Control",Wireless,"5.0 V, 9.0 V",,,17.8 cm,6.8 cm,7.2 cm,Carry-in,1 Year Manufacturer Warranty,Manufacturing Defects,Physical Damage,1 Year,16 W,,85 dB,,yes,1.5 hr,Use Time 7 hr,1100 mAh,10 m,"Subwoofer driver size : 16.51 cm (6.5 inch), Satellite drive size : 7.6cm (3 inch)",,,2,,Stereo,"DC 5V slot: use the standard Micro USB V8 charging cable for power charging, TF slot: it can decode and play MP3 format audio when put TF card into the slot, USB slot: it can decode and play MP3 format audio when put the USB card into the slot, Aux line in slot: use the mini 3.5 head input through outside devices, When play music, (USB card/TF card/Bluetooth/line in), press short for play/pause, In FM mode, press short to search station automatically, press again to stop searching Under Bluetooth mode with mobile paired, when call coming, press short to answer a call hands-free, press again to hand up, press twice to ring up a call",,,,,,,,,,,,,,,,,,,,
84,"1 Soundbar, Aux Cable, Charging Cable, Warranty Card, User Manual",WL-CENTERSTAGE-400 BLK,2622,Mobile/Tablet Speaker,,Yes,No,Mono,AC Adapter,120 - 15000 Hz,6 Ohms,Black,Wireless,No,No,Yes,Yes,"1 Woofer, 1 Tweeter","Laptop, Mobile, Tablet, Computer, TV",,1 USB Ports,,"Advanced Bluetooth decode chip, support to connected with the all Bluetooth equipment., Voice calling-number, Automatically re-connect, automatically into pairing mode when failed, Low power prompt, Redial function, Volume synchronization, the default volume is 50% of the maximum, Power synchronization, Reading TF card and U disk, Support line in audio input, With FM radio","Yes, ABS Plastic Chassis","UP/DOWN, NEXT/PERVIEW, ON/OFF, FM Mode",,"230 V AC, 50 Hz, 6 W",,,38.2 cm,7.9 cm,5.6 cm,"Kindly Reach Out to support@ptron.in, 040-67138888",1 Year Warranty,Manufacturing Defects Only,Any Physical Damage and Accessories,1 Year,4 W,,84 dB,,USB,2 hr,"Lithium-ion, Use Time 18 hrs",800 mAh,10 m,"52 mm x 90 mm Woofer, 20 mm Tweeter",,,1,,Bold JBL Pro Sound,,,,,,,,,,,,,,,,,,,,,
85,2 Speakers,TB-TB-008T,HW-T42E/XL Dolby Digital,Laptop/Desktop Speaker,,Yes,Yes,Mono Channel,AC,NA,16,Black,Wireless,Yes,Yes,No,No,"1 Subwoofer, 1 Center Speaker, 1 Wireless Rear Speaker Included","Mobile, Laptop, Tablet",,1 USB Ports,,,"No, Wooden Subwoofer & Satellites Chassis","Power, Play/pause, Previous/next, Led light button",,220V- 240V/50Hz,,,10.4 cm,11.8 cm,21.3 cm,off-site,1 Year Manufacturer Warranty from the Date of Purchase on Manufacturing Defects Only,Manufacturing defects,Physical Damage,1 Year,90 W,,90 dB,,Yes,4 hr,"LION, Use Time 12 hr",1200 mAh,10 m,,,,2,,Dolby Digital Technology,,,,,,,,,,,,,,,,,,,,,
86,"1 Subwoofer, 5 Satellite Speaker, Remote, Input Cable, User Manual",Zeb-Twist 5.1,"Partybox 310 - 18Hrs Playtime, JBL Pro Sound, Dynamic Light Show, IPX4 Portable",Home Theatre,,Yes,Yes,2.1,AC Adapter,45 - 18000 Hz,4 ohms,Black,Wireless,Yes,Yes,Yes,Yes,,"MOBILES, DESKTOP, LAPTOP, TABLET",,1 USB Ports,,,"No, Plastic Chassis","Power Button, Play/pause Button, Volume up/Previous Button, Volume down button/Next Button, Mode button",,"5 V, 3 A",,,41.5 cm,33.5 cm,35 cm,Manufacture defect,1 year manufacturing warranty,Repair,Physically Damage,1 Year,12 W,,85 dB,,No,4 hrs,Use Time 4 hrs,2200 mAh,100 m,,,,4,,,,,,,,,,,,,,,,,,,,,,,
87,"1 Soundbar, Charging Cable, Aux Cable, User Guide Card",Musicbot Evo,Blitz 1500 / Blitz 1508 Multimedia,Soundbar,,"5.1  withA2DP 1.3, AVRCP 1.6",Yes,2.1 Channel,AC Adapter,80 Hz - 20000 Hz,4,Black,Wired & Wireless,Yes,Yes,Yes,Yes,,"TV Speakers, Mobile, PC, Projectors, Tablets, Laptops",,1 USB Ports,,,yes Chassis,"Previous, Next, Knob Dial, Volume, Mode Buttons",,,,,38.7 cm,6.5 cm,6.5 cm,For any product related queries contact_us on: [ 18008434333 ] or email us at wecare@blaupunktaudio.in,1 Year Warranty,Only Manufacturing and technical defect,Physical and Liquid Damage,1 Year,10 W,,80 dB,,yes,2 hr,"Rechargeable, Use Time 5 hr",2000 mAh,10 m,,,,1,,,,,,,,,,,,,,,,,,,,,,,
88,"Bluetooth Speaker, Type C Charging Cable, User Manual",SoundDrum 1,"Fort S200 soundbar with wired subwoofer, Made in India",Mobile/Tablet Speaker,,Yes,No,4.1,AC Adapter,300,4,Orange,Wired & Wireless,Yes,Yes,Yes,,,Mobile,,1 USB Ports,,,,"Play, Pause, Volume, Bluetooth Pairing, Power",,,,,4 cm,7 cm,4 cm,7 Days Service Center Returns,1 Year Warranty,Manufacturing Defects,Any Physical Damage,1 Year,3 W,,72 dB,,,3.5 hr,"Lithium, Use Time 6 hr",7500 mAh,10 m,,,,1,,,,,,,,,,,,,,,,,,,,,,,
89,"1 Speaker, Micro USB Charging Cable, Aux Cable, User Manual",ZEB-PSPK9,Rocker Boombox Atom Portable Wireless,Mobile/Tablet Speaker,,No,Yes,4.1 Channel,Battery Charger,100Hz - 18kHz,4 Ohms,Blue,Wired & Wireless,Yes,Yes,No,,,"Laptop, Tablet, Mobile, Television, Audio Player, DJ, Club House",,1 USB Ports,,,,One Remote Control,,,,,14.2 cm,11.2 cm,7 cm,Reach Out to us at info@imaginemarketingindia.com/+912249461882/support.boat-lifestyle.com. Alternatively You Can Activate Your Warranty by Giving a Missed Call on 9223032222,1 Year Warranty Provided by the Manufacturer from Date of Invoice,Manufacturing Defects,Physical Damage,1 Year,16 W,,80 dB,,,,Use Time 7 hrs,2000 mAh,10 m,,,,1,,,,,,,,,,,,,,,,,,,,,,,
